帖子主页,发帖时间,回复人次,转发次数,点赞次数,展示次数,当前帖子内容,转发帖子的用户id,转发帖子的用户
https://x.com/wangzhian8848/status/2009076875017302438,2026-01-08T01:37:08.000Z,240,9,592,183K,"想去一趟格陵兰。听说那里人很少，要是对移民比较友好，我就搬到那里办公。这样，等美帝把格陵兰拿下，我不但能分一笔卖国的钱，还能拿个美国护照。

当然，如果格陵兰誓死保卫祖国，我就权当去旅游一趟了。",,
https://x.com/wangzhian8848/status/2009055346523017405,2026-01-08T00:11:35.000Z,150,10,408,183K,川普搞格陵兰越来越像真的了，欧洲在懵圈中。,,
https://x.com/wangzhian8848/status/2009052573890965734,2026-01-08T00:00:34.000Z,174,11,495,314K,"太子集团陈志被柬埔寨撤销国籍，正式移交给中国。灰飞烟灭了。

150亿美元的比特币，到底是归中国还是归美国呢？",,
https://x.com/wangzhian8848/status/2008906579404615959,2026-01-07T14:20:26.000Z,217,17,242,216K,刚看了一下中国禁止出口日本的清单，竟然有VPN设备，我一时没想明白，这个为什么属于军民两用商品。,,
https://x.com/wangzhian8848/status/2008876357359657240,2026-01-07T12:20:21.000Z,297,15,516,350K,"中日贸易额每年3000亿美元左右，双方贸易基本平衡。中国卖给日本的，主要是稀土，一些重要的合金，机电产品、电子元件、高新技术产品、服装纺织品和基础原材料为主，特别是电子产品和零部件的出口量非常大。
日本对中国出口：",,
https://x.com/wangzhian8848/status/2008873266119868782,2026-01-07T12:08:04.000Z,23,2,56,82K,王局和老雷，在特里尔寻访马克思｜王局欧洲行之四 https://youtu.be/8l6YfFFf1oA?si=pexHYmmKAyh26PHQ… 来自 @YouTube,,
https://x.com/wangzhian8848/status/2008754241125708033,2026-01-07T04:15:06.000Z,36,2,76,99K,在纳粹集中营，见证德国人的“平庸之恶”｜王局欧洲行之三 https://youtu.be/4ErpS5BhIyg?si=R4XtvY0cX6qBoTqY… 来自 @YouTube,,
https://x.com/wangzhian8848/status/2008698059375735069,2026-01-07T00:31:51.000Z,119,4,88,81K,如果川普吞并格陵兰，这是,,
https://x.com/wangzhian8848/status/2008527303165591668,2026-01-06T13:13:20.000Z,530,50,977,545K,"中国对日本禁运军民两用商品，目录列了一百多页。这是正式宣告，要么高市收回她关于台湾的讲话，要么高市下台，中日关系没可能改善。而且，中国是要日本付出有足够痛感的代价。

看日本经济的抗压能力了。",,
https://x.com/wangzhian8848/status/2008501028673782012,2026-01-06T11:28:56.000Z,235,14,502,319K,老乡骗老乡，两眼泪汪汪。全都是预制菜，各位东京的朋友不要再去了。,,
https://x.com/wangzhian8848/status/2008495245114376591,2026-01-06T11:05:57.000Z,106,5,203,123K,踩雷了，味道很差。,@wangzhian8848,王局志安
https://x.com/wangzhian8848/status/2008490884560736424,2026-01-06T10:48:37.000Z,89,7,142,175K,新年了，吃点儿好的。,,
https://x.com/wangzhian8848/status/2008366072907354388,2026-01-06T02:32:40.000Z,176,2,360,104K,一个滑雪高手的诞生！,,
https://x.com/wangzhian8848/status/2008341113044934976,2026-01-06T00:53:29.000Z,100,2,183,66K,我们日本的雪场比较好,,
https://x.com/wangzhian8848/status/2008320934835269943,2026-01-05T23:33:18.000Z,104,9,189,117K,马杜罗首次庭审结束，特朗普看起来准备从重从快处理马杜罗。,,
https://x.com/wangzhian8848/status/2008319826255548500,2026-01-05T23:28:54.000Z,281,11,357,188K,我们日本的新干线，感觉有点落后了。,,
https://x.com/wangzhian8848/status/2008318750957748602,2026-01-05T23:24:37.000Z,245,6,403,300K,华为手机的自拍效果不错,,
https://x.com/wangzhian8848/status/2008146537709482017,2026-01-05T12:00:18.000Z,89,7,108,120K,今晚话题：美国抓捕委内瑞拉总统马杜罗，世界迎来“强权即正义”时代？｜绝对决心｜海豹突击队｜查韦斯｜门罗主义｜王局拍案 20260106 https://youtu.be/fIB0ANzqh5o?si=rR0WQkw6MGCms7Is… 来自 @YouTube,,
https://x.com/wangzhian8848/status/2007991290231951851,2026-01-05T01:43:24.000Z,456,38,583,183K,"如果人权大于主权，当年南非搞种族隔离制度，比贩卖点儿毒品危害更大吧？为啥当时联合国不授权直接多国部队进入占领，活捉总统，改变制度，而是仅仅采取国际禁运？

也没见到当年美国直接甩开联合国直接出兵南非啊。",,
https://x.com/wangzhian8848/status/2007986862078742618,2026-01-05T01:25:49.000Z,449,31,625,235K,"美国说马杜罗走私毒品，美国的毒品，从墨西哥走私过来的大把吧，要不趁热打铁，把墨西哥总统也抓了？

对了，芬太尼基本都是从中国来的，要不要把习近平也抓到纽约受审？干嘛弄什么关税战嘛，关税战的前提，你就是承认对方政权的合法性了，直接抓多简单。",,
https://x.com/wangzhian8848/status/2007985120142332218,2026-01-05T01:18:53.000Z,610,48,829,231K,"卢比奥说马杜罗不是合法总统，是美国通缉的嫌疑犯，因为合法性来源于选举，马杜罗没有。

按照这个逻辑，三胖也不是合法的国家元首吧，为啥特朗普还要和他拥抱，把他当朋友？

习近平也不是吧，为啥特朗普说习近平是伟大的国家领导人？",,
https://x.com/wangzhian8848/status/2007794148154482997,2026-01-04T12:40:02.000Z,28,1,72,112K,也可以，然后美国并入格陵兰。,@Juicewrld73,sony
https://x.com/wangzhian8848/status/2007790630970544388,2026-01-04T12:26:04.000Z,463,33,1.1K,348K,川普抓委内瑞拉总统马杜罗非常成功，我要是习近平，就有样学样，梧桐台湾也不需要火箭弹覆盖两栖攻击舰登陆了，直接派个特种部队，半夜里拿下台湾总统官邸，把赖清德押往泉州市人民监狱，以违反《反分裂国家爱法》予以起诉，这事儿就搞定了。,,
https://x.com/wangzhian8848/status/2007785236588110086,2026-01-04T12:04:37.000Z,426,26,878,338K,"今后这个世界就是听川普和习近平两个人的，想抓谁就抓谁。谁不服就削谁。

你要么拜一个当大哥，要么拜两个人当大哥。谁也不拜的，就只能当乌克兰了。",,
https://x.com/wangzhian8848/status/2007784501922173046,2026-01-04T12:01:42.000Z,162,16,348,129K,"日本的博物馆门票要区分日本人和外国人，东京国立日本人一千五，外国人四千。这种做法过去老共在穷的揭不开锅的时候，景区博物馆普遍搞这一套，日本现在也开始学了。

这种做法在日本有个名词—共生。",,
https://x.com/wangzhian8848/status/2007669032783360170,2026-01-04T04:22:52.000Z,99,4,175,167K,我老了，无所谓，你们还年轻。,@IchbinJPong,JokerPong
https://x.com/wangzhian8848/status/2007646871062466686,2026-01-04T02:54:48.000Z,328,44,1.1K,262K,"国内微博头条微信公众号的优质博主如果来推特，对目前推特的中文博主是降维打击。目前推特的中文大V，如果在国内，多数，绝大多数，都根本不入流。

中国推特的大V，基本就几板斧：搞黄色，信轮子，秀反共，秀反智。反智很多时候还能反出优越感来。",,
https://x.com/wangzhian8848/status/2007642238004932759,2026-01-04T02:36:24.000Z,249,57,1K,383K,"我在国内的时候，微博六七百万粉丝，每个月阅读量好几亿，是社会新闻位列第一的头部号，每个月分成也就两三万块钱。

如果推特能十倍微博，我相信微博大多数优质创作博主，都会转战推特的。",,
https://x.com/wangzhian8848/status/2007639094952882434,2026-01-04T02:23:55.000Z,19,1,72,102K,只要赚钱，没什么障碍不能克服。,@photographer029,火种
https://x.com/wangzhian8848/status/2007638431485264190,2026-01-04T02:21:16.000Z,125,10,340,184K,"推特收入如果能让优质内容输出作者稳定达到两三万人民币，我相信会吸引大量微博和脸书上的作者过来。毕竟写写帖子收入就能和打份工收入一样，还是很有吸引力的。

如果优质作者月收入能达到一两万美元，对其他文字平台是个噩梦。",,
https://x.com/wangzhian8848/status/2007635756156895418,2026-01-04T02:10:38.000Z,118,3,320,125K,约会时间！,,
https://x.com/wangzhian8848/status/2007605331325821077,2026-01-04T00:09:45.000Z,360,10,148,180K,习近平如果派军队入台，三小时抓获赖清德然后送往北京审判。你觉得和川普抓马杜罗想比？,,
https://x.com/wangzhian8848/status/2007449264688115723,2026-01-03T13:49:35.000Z,253,10,465,183K,"网上已经开始传言我马上要被日本赶走了，然后很多人开始迫不及待弹冠相庆了。

还是新加坡比较好，我考他们国语能考一百分。",,
https://x.com/wangzhian8848/status/2007448593389552003,2026-01-03T13:46:55.000Z,304,21,740,292K,马杜罗要是学金三胖，弄点儿核武器之类的，川普就不敢抓他，然后和他握手拥抱还会感觉很自豪。,,
https://x.com/wangzhian8848/status/2007433143440314501,2026-01-03T12:45:32.000Z,577,17,606,942K,川普为啥要去抓委瑞内拉的总统？,,
https://x.com/wangzhian8848/status/2007405584182849609,2026-01-03T10:56:01.000Z,185,10,216,202K,永驻要求日语，真的是新时代的闭关锁国。日本这些右翼政客，真的只适合当村长。,@Wuming80253200,Wuming
https://x.com/wangzhian8848/status/2007381435062333682,2026-01-03T09:20:04.000Z,83,7,252,99K,新年了，吃点儿好的。,,
https://x.com/wangzhian8848/status/2007380599322120601,2026-01-03T09:16:44.000Z,293,27,365,180K,"日本永驻要求日语，这是右翼势力的自杀政策，在日本高薪的外国人多数都是不太会日语的，会日语的收入普遍较低。这是要把高收入外国人群体驱离日本。

我们日本！",,
https://x.com/wangzhian8848/status/2007356578778009970,2026-01-03T07:41:17.000Z,129,7,275,129K,新年，歌舞伎町逛一逛！,,
https://x.com/wangzhian8848/status/2007295305600176405,2026-01-03T03:37:49.000Z,37,6,131,139K,王局在日本遭遇斩杀线穷困潦倒不得不通过打零工换午饭｜吃点好的20251012 https://youtu.be/kZe1UHtLx18?si=9cGgwpc8mTPg2zjc… 来自 @YouTube,,
https://x.com/wangzhian8848/status/2007063357732602332,2026-01-02T12:16:08.000Z,88,5,286,274K,喂，@Grok，请把那个吸毒的资本家移除！,,
https://x.com/wangzhian8848/status/2007043093443608683,2026-01-02T10:55:37.000Z,78,8,339,605K,请把破坏世界和平的恐怖分子照片移除，@Grok。,,
https://x.com/wangzhian8848/status/2007041787530293287,2026-01-02T10:50:25.000Z,72,5,313,392K,喂，@Grok，请把破坏中华民国宪法的人的照片拿掉。,,
https://x.com/wangzhian8848/status/2007041292061295046,2026-01-02T10:48:27.000Z,33,4,98,174K,@Grok，请把想要消灭中华民国的人的照片拿掉。,,
https://x.com/wangzhian8848/status/2007039552175976704,2026-01-02T10:41:32.000Z,181,95,1.4K,1.2M,喂，@Grok，请把危害台海和平的恐怖分子的图片拿掉。,,
https://x.com/wangzhian8848/status/2006573635956527317,2026-01-01T03:50:09.000Z,99,4,431,134K,2026大吉！,,
https://x.com/wangzhian8848/status/2006561532608643074,2026-01-01T03:02:04.000Z,76,4,218,153K,あけましておめでとう！,,
https://x.com/wangzhian8848/status/2006557541367693399,2026-01-01T02:46:12.000Z,21,4,90,127K,王局祝各位2026元旦快乐｜王局拍案20260101 https://youtu.be/N2xe0gdot24?si=CirU1PvMeDakopMm… 来自 @YouTube,,
https://x.com/wangzhian8848/status/2006333950713798893,2025-12-31T11:57:44.000Z,46,6,84,146K,今晚话题：大陆围台军演进入台湾领海，中共目标何在？｜正义使命｜台北101｜东部战区｜禁止性水域｜海马斯｜王局拍案 20251231 https://youtu.be/2lJzqfUMC5o?si=P2_RsgKXXCBIcQ3Q… 来自 @YouTube,,
https://x.com/wangzhian8848/status/2006311666557047147,2025-12-31T10:29:11.000Z,158,5,340,109K,辛苦一年，晚上吃点儿好的。,,
https://x.com/wangzhian8848/status/2006265893375062461,2025-12-31T07:27:18.000Z,261,39,829,289K,面对中共围台军演，赖清德开始践行真善忍。,,
https://x.com/wangzhian8848/status/2006264506771722538,2025-12-31T07:21:47.000Z,89,3,134,164K,确实，中共胆敢武力犯台，毕将自取灭亡。,@Lawrenc09874431,Lawrence of Gobi 愚蠢的精卫
https://x.com/wangzhian8848/status/2006171881146069186,2025-12-31T01:13:43.000Z,36,3,87,115K,王局拍案岁末直播马上开始：世界风云变换，王局谈治国理政「直播」 https://youtube.com/live/2cKEURF5-yI?si=0OD5eDqfG7iL_4lg… 来自 @YouTube,,
https://x.com/wangzhian8848/status/2006164579965972883,2025-12-31T00:44:43.000Z,74,8,339,167K,李在明1月4号访问中国，元旦假期还没结束，就来中国访问了。上一次中韩首脑互访是2014年，十一年前了。,,
https://x.com/wangzhian8848/status/2005996312551121321,2025-12-30T13:36:05.000Z,38,11,82,128K,新版 《治安管理处罚法》 只许领导睡下属，不许百姓发黄图？｜公权力｜私域｜新婚之夜抄党章｜王局拍案 20251229 https://youtu.be/xD97QEoGaOU?si=HUNtdaSxikH1ReKl… 来自 @YouTube,,
https://x.com/wangzhian8848/status/2005950828616790356,2025-12-30T10:35:20.000Z,139,18,458,369K,今天中共军队实弹演习，发射了两波火箭弹，第一波是上午17枚从平潭打到基隆北部70公里海域，第二波10枚是中午一点，从福建某地打到距离台南50公里的海域。,,
https://x.com/wangzhian8848/status/2005945429293240478,2025-12-30T10:13:53.000Z,116,6,237,188K,来自中华民国国防部记者会，今天中共军事演习，没有火箭弹落入领海，也没有军舰，海警船进入领海。,,
https://x.com/wangzhian8848/status/2005905320204472534,2025-12-30T07:34:30.000Z,133,15,433,187K,台湾无惧中共武力威胁，股市再创历史新高。,,
https://x.com/wangzhian8848/status/2005904824853053751,2025-12-30T07:32:32.000Z,37,2,107,111K,赖总统加油！,@lazystockbone,懶股頭：談股票
https://x.com/wangzhian8848/status/2005898853938344396,2025-12-30T07:08:49.000Z,117,8,261,142K,"又到了一年年末，又到了在直播间相会的日子。

 2025这一年风云变幻，世界在发生着天翻地覆的变化。

12月31日，东京时间上午10点30分，台北时间9点30分，纽约时间20点30分。王局要在直播中畅谈对2025年整个国际社会变化的理解。",,
https://x.com/wangzhian8848/status/2005889625710063686,2025-12-30T06:32:09.000Z,417,16,144,166K,中共军队入侵中华民国12海里领海，你的建议：,,
https://x.com/wangzhian8848/status/2005881763630047626,2025-12-30T06:00:54.000Z,220,10,224,178K,共军已经入侵12海里领海，可以给入侵之敌狠狠回击。,@MoNDefense,"國防部 Ministry of National Defense, ROC(Taiwan) "
https://x.com/wangzhian8848/status/2005809787838292038,2025-12-30T01:14:54.000Z,128,21,522,404K,实弹演习开始，海峡内空域已经清空，但船只依然有很多。,,
https://x.com/wangzhian8848/status/2005644606785175600,2025-12-29T14:18:31.000Z,785,59,1.7K,605K,如果明天中共在台湾领海内实弹演习时，中华民国国军奋起反击，打响反侵略战争第一枪，我将为中华民国军队捐款100万日元。保卫中华民国，保卫民主台湾。,,
https://x.com/wangzhian8848/status/2005640499550638418,2025-12-29T14:02:12.000Z,77,6,191,153K,台湾国防部本次因应速度特别快，演习刚开始第一天，就出了一个反制的宣传片。,@mna_roc,"軍聞社 Military News Agency, ROC(Taiwan)"
https://x.com/wangzhian8848/status/2005638384543572420,2025-12-29T13:53:48.000Z,88,90,663,222K,中美台空军空中打嘴仗。,,
https://x.com/wangzhian8848/status/2005607732993462604,2025-12-29T11:52:00.000Z,847,43,1.1K,727K,明天中共军演将进行实弹射击，本次军演已经突破中华民国十二海里领海基准线。此前台国防部说，一旦突破12海里领海，坚决回击。这个元旦不太平，搞不好明天内战就又重新打起来了。,,
https://x.com/wangzhian8848/status/2005591888930426908,2025-12-29T10:49:03.000Z,55,13,181,129K,赖清德说，中国因实力不足不敢越雷池一步。,,
https://x.com/wangzhian8848/status/2005509343635185761,2025-12-29T05:21:02.000Z,349,33,371,364K,从今天开始，东部战区组织陆军、海军、空军、火箭军等兵力，位台湾海峡、台岛北部、台岛西南、台岛东南、台岛以东，组织“正义使命-2025”演习，这次演习是在台湾没有作出任何挑衅的前提下，无预警直接进行的。,,
https://x.com/wangzhian8848/status/2005442246028689889,2025-12-29T00:54:25.000Z,126,9,379,312K,东京进入清零模式。,,
https://x.com/wangzhian8848/status/2005440219378802928,2025-12-29T00:46:22.000Z,53,8,149,117K,昨天看台湾举办的连胡会二书记周年纪念仪式，国民党主席郑丽文有参加，作家蓝博洲也从苗栗乡下赶来参加并发言。有段话说的挺令人感慨。,,
https://x.com/wangzhian8848/status/2005103669331824645,2025-12-28T02:29:02.000Z,113,12,304,183K,会一直继续的，馆长这种从绿的反水过来，直接喊我是中国人的，统战价值非常大。中共现在需要让台湾人，尤其是偏绿的台湾人到大陆旅游，了解大陆和台湾深绿媒体宣传的不一样。这个需要一个样板，馆长符合一切条件。馆长比那些普通的台湾艺人有价值的多。,@ouyangbo9,了无挂碍
https://x.com/wangzhian8848/status/2005099471097716959,2025-12-28T02:12:21.000Z,204,4,209,230K,"台湾如果统一，赖清德我估计能混个正国级。比如政协主席之类的,级别肯定高于港澳。",@123Xdq173,批判书生
https://x.com/wangzhian8848/status/2005093992124612703,2025-12-28T01:50:35.000Z,260,36,660,236K,要说统战，大陆人都看得懂，馆长就是中共统战对象。但中共并不需要直接给馆长钱，只要让他开直播，接商单，馆长的收入就会源源不断。而且规模远远高于他在台湾。这种市场化的“收买”对台湾人造成的冲击，才是中共想看到的。这种钱，远比中共直接给效果要好得多。,,
https://x.com/wangzhian8848/status/2005086432680182074,2025-12-28T01:20:32.000Z,69,4,138,130K,确实，我现在每天就只吃一顿饭，早上半杯牛奶兑咖啡，午饭吃空气，晚饭吃中华。到周末才能吃点儿好的。,@YAkifuyu,闲人闲语
https://x.com/wangzhian8848/status/2005077706736893994,2025-12-28T00:45:52.000Z,150,6,556,194K,馆长直播卖货，在直播家不敢骂赖清德和民进党了。按照抖音的规定，赖清德如果属于中国党和国家领导人，那是不能骂的，如果属于外国国家领导人，也是不能骂的。如果违反都是直接封号。,,
https://x.com/wangzhian8848/status/2004864660873638193,2025-12-27T10:39:18.000Z,84,12,324,113K,"台灣行政部門會昨26日拍板""社會秩序維護法""部分條文修正草案，修法的內容包括，如果在網路公開倡議、宣傳、散布或播送消滅""我國主權""之主張，得令網路服務提供者限制瀏覽或終止服務之措施。最重可拘留3天，或處3萬元以下罰鍰。",,
https://x.com/wangzhian8848/status/2004831447543386276,2025-12-27T08:27:19.000Z,60,6,121,203K,原来这样啊，我就说嘛，中共独裁怎么可能打穿天山呢？敢情被骗了。,@tianxinsuiyue,tianxinsuiyue
https://x.com/wangzhian8848/status/2004830497214791875,2025-12-27T08:23:33.000Z,119,8,150,157K,基建狂魔我们日本确实比不了。,@wangzhian8848,王局志安
https://x.com/wangzhian8848/status/2004789889913725396,2025-12-27T05:42:11.000Z,83,8,181,162K,用的工人已经很少了，连盾构机都是无人工作了。主要还是技术先进，作业面被分为16个，同时掘进。这项技术目前看全世界只有中国可以做到。,@currybeatjames,curry30
https://x.com/wangzhian8848/status/2004782106451624272,2025-12-27T05:11:15.000Z,316,30,529,386K,中国天山胜利隧道全长22公里，是世界上最长的公路隧道。更牛的是，这条隧道中国只用了52个月就建成了。这真是工程奇迹了。感觉中国这些年在工程创新环节进步太大了，遥遥领先其他国家。,,
https://x.com/wangzhian8848/status/2004743806328217658,2025-12-27T02:39:04.000Z,51,10,87,119K,《秦晖访谈录》下集—在中国谈工会的罪过是扯淡｜局面专访20251227 https://youtu.be/jS5c9E456TU?si=q73RX-XoUyAmERok… 来自 @YouTube,,
https://x.com/wangzhian8848/status/2004509156276064702,2025-12-26T11:06:39.000Z,132,4,248,101K,周末了，吃点儿好的。,,
https://x.com/wangzhian8848/status/2004447783777194441,2025-12-26T07:02:47.000Z,34,1,43,99K,大致如此。,@JiHuang02026178,Ji Huang
https://x.com/wangzhian8848/status/2004409542067777980,2025-12-26T04:30:49.000Z,262,51,959,382K,说几句有关中共宣传机构和海外这些建政的事情。大家可能知道，最近两年台湾破获数起中共间谍案，包括总统府外交部都有涉及，好几起都审结了。各位可以去看看中国给台湾间谍多少钱。其金额在我看来，真的特别少。一个服务了十几年的间谍，在台湾长期负责招募其他下线的，最后也就拿了一百万多万人民币。,,
https://x.com/wangzhian8848/status/2004389830856421621,2025-12-26T03:12:30.000Z,532,19,492,855K,人民币飙涨，中国经济要完？,,
https://x.com/wangzhian8848/status/2004378169072324934,2025-12-26T02:26:09.000Z,30,2,85,113K,秦晖：在中国谈工会的罪过是扯淡｜局面专访预告20251226 https://youtu.be/koM15s7gIsw?si=kvfBy1kECQ-2hl_s… 来自 @YouTube,,
https://x.com/wangzhian8848/status/2004169274617991240,2025-12-25T12:36:05.000Z,65,6,81,117K,今晚话题：中华民国宪政僵局无解！｜财划法｜立法滥权｜在野独裁｜宪法法院｜赖清德｜卓荣泰｜王局拍案 20251225 https://youtu.be/KXtqdSnABNg?si=1yBpeWxAy8ap_uLQ… 来自 @YouTube,,
https://x.com/wangzhian8848/status/2004023190457348485,2025-12-25T02:55:36.000Z,211,15,310,128K,"美国的医保体系的确是存在问题，昂贵，效率低。但美国也是全球范围内为创新药支付最高收益的市场，如果没有美国这个慷慨的支付体系，可能创新药无法在现有体系下进行良性运转。

从某种角度讲，美国为全世界各国支付了创新药的研发成本。",,
https://x.com/wangzhian8848/status/2004013782096662695,2025-12-25T02:18:13.000Z,57,2,85,93K,除了这个因素，也有文化因素，东亚民族整体储蓄率都比较高。,@wangg4346,wanggong
https://x.com/wangzhian8848/status/2004012085240553848,2025-12-25T02:11:28.000Z,209,22,336,232K,美国人的消费习惯在中国人看来都很败家，比如买车，中国人在收入少的时候，可能会买一辆二手车，等收入增长后，再换好一点的车。但美国人不太这样消费，很多中产都是贷款先买好车开。买房付贷款，中国人也不会把房贷占收入的比例搞得非常夸张。总体看美国人多数都没有量入为出延迟满足的习惯，都会有一,,
https://x.com/wangzhian8848/status/2004008535286489571,2025-12-25T01:57:22.000Z,81,7,509,154K,听说了，据说比美国中产过的都幸福。,@pitaimi1984,花花火箭
https://x.com/wangzhian8848/status/2003814512269688942,2025-12-24T13:06:23.000Z,276,22,334,160K,美国流浪汉吃喝等基本是不愁的，但中国当流浪汉真没吃的。所以不是被逼无奈，没几个人会去当流浪汉。但美国由于流浪汉吃喝不愁，稍微堕落一点，就进去了。这个群体的数量真挺大的。当然还有文化因素，美国不驱赶，不主动消灭流浪汉，在中国，流浪汉是被城市和社会管理“消灭”的对象。,@jxzdmzw,侥幸没歪
https://x.com/wangzhian8848/status/2003807584881664268,2025-12-24T12:38:51.000Z,170,9,401,125K,平安夜，吃点儿好的。,,
https://x.com/wangzhian8848/status/2003796994746462401,2025-12-24T11:56:46.000Z,43,6,67,88K,今晚话题：外卖骑手搅动长沙不眠夜，揭竿而起还是寻衅滋事？｜业权｜歧视｜合能丽璞｜阶级对立｜维权｜王局拍案 20251224 https://youtu.be/WE0Pst4ctbI?si=BOMAgfrM0LbOnatH… 来自 @YouTube,,
https://x.com/wangzhian8848/status/2003775671869530220,2025-12-24T10:32:03.000Z,189,61,750,192K,这个世界富豪们在那生活都挺好，不同国家的区别在普通人。,,
https://x.com/wangzhian8848/status/2003771165605781857,2025-12-24T10:14:08.000Z,81,4,278,117K,本来就不是在搞社会主义，说社会主义都是忽悠傻子的。当然，也幸亏没有搞什么社会主义。,@Thomaskong96638,Thomas
https://x.com/wangzhian8848/status/2003770797652062694,2025-12-24T10:12:41.000Z,149,17,483,141K,我比较支持中华民国消灭中华人民共和主权。,@xixi58160526,xixi
https://x.com/wangzhian8848/status/2003760334537142719,2025-12-24T09:31:06.000Z,37,1,79,74K,安排！,@NewbeeMu,HarleyQuinn
https://x.com/wangzhian8848/status/2003745924548546637,2025-12-24T08:33:50.000Z,58,1,116,83K,免费医疗没必要，做到医保各个系统统一报销就可以了。另外有特别困难的，可以有单独的补助系统。免费不一定好，效率低，搭便车。,@US5188,海森堡！
https://x.com/wangzhian8848/status/2003701394101141988,2025-12-24T05:36:53.000Z,126,13,248,142K,这是一种误解，事实上大量的城市长大的农二代，根本回不去了。家里的地撂荒多年，而且他们也不会种地。很多人家里的房子都倒了，你想，二三十年没在那里生活。就算去种地，收入每亩几百块，也覆盖不了他们的生活成本。也解决不了他们面临的个人风险，一个人在城市生活的风险级别，是农村社会的几十倍。,@Kongkongda5882,空空道人
https://x.com/wangzhian8848/status/2003699290334785875,2025-12-24T05:28:32.000Z,29,1,58,65K,个人储蓄也是必要的。不能将风险防范全都放到社会上。,@0z_Dustin136,Gm_CafeFi
https://x.com/wangzhian8848/status/2003698452660912566,2025-12-24T05:25:12.000Z,428,117,1.2K,284K,中国为什么很多底层看起来没有那么惨，是因为中国的家庭结构支持，比美国日本这些国家强的多。真有困难，家人会全力以赴帮助，而不是因为中国的社会保障系统更完善，社会容错率更低。,,
