回帖用户名,用户主页地址,回帖时间,回帖内容
开门查水表,https://x.com/rie611947863548,2026-01-10T11:05:44.000Z,王局当年关系要是通中南海，也不至于跑路日本。
sun fl ow,https://x.com/maoweishi,2026-01-10T10:49:21.000Z,看看实力？
bu bu,https://x.com/bubu119322055,2026-01-10T12:22:31.000Z,你都是和你妈逼直接联系，我们知道，你和傻逼希诺不会是同性恋吧
宇哥,https://x.com/EawRb24z4c56539,2026-01-10T08:14:09.000Z,我都是打电话，私企腾讯靠不住，还是国企三大运营商能做好保密工作
稲津成,https://x.com/qETFlBbTSRyVMMH,2026-01-10T12:58:58.000Z,给中南海扫厕所的有微信联系，汇报你地下工作者的进度
Raymond White,https://x.com/ClergyBai,2026-01-10T09:07:36.000Z,吴晓辉的狗
念念,https://x.com/ninnin920182533,2026-01-10T09:35:16.000Z,一个市长能联系上就算你NB
Lee,https://x.com/Lee931094345464,2026-01-10T09:35:28.000Z,你就是條狗而已，連正八經的人都算不上，不是貶低你。
huang zhang,https://x.com/huang70775,2026-01-10T12:50:09.000Z,哈哈哈
lu chang,https://x.com/luchang77405197,2026-01-10T11:08:27.000Z,笑了，柴进和文贵才是中南海直接联系人，，你顶多算二级特工，，
中华蹲,https://x.com/peterthega88052,2026-01-10T08:30:54.000Z,为什么中国人大肆污蔑达赖喇嘛盛雪热比娅，但是对你毫无抹黑？
單純愛吃魚,https://x.com/ELLOIT123,2026-01-10T09:25:30.000Z,王桑你永遠也達不到石平先生的高度 石平先生已經是天皇陛下的子民 而且石平先生還是大日本帝國的議員 受大和人民尊重 石平先生的後代也能受天皇陛下的庇護 流著大和民族的血 繼承大和民族的精神 即使你成為大日本帝國的公民 你身上的大陸人特有的奴性也難以褪去 面對大陸強權 石平先生反抗 而你唱讚歌
水官,https://x.com/qingshu92510653,2026-01-10T08:16:45.000Z,王志安，陈秋实，马保国，这三人是一伙的，都是徐晓冬事件出来之后共党为了控制局面抛出来的人。马保国与徐晓冬比武那天那个场地的工作人员也和马保国是一伙的。马保国其实是想说自己谍战技术厉害，没有真用谍战技术打那个英国mma冠军。
洪飞平,https://x.com/ZoCAyXNBWv54278,2026-01-10T09:08:17.000Z,王志安任务对台，二大爷对美
Scott X,https://x.com/ScottX55313,2026-01-10T09:24:21.000Z,你真傻，用钱才叫收买，王局根本不用收买，因为不用花钱，本来就是向着自己的
observer,https://x.com/Observer98930,2026-01-10T07:59:34.000Z,你就承认了吧。组织让你在潜伏在日本辛苦了。等到胜利那天，你就是志安太朗首相。
Jack Liu,https://x.com/HappyJack1999,2026-01-10T09:14:28.000Z,你给中南海吸叼和舔菊吗，傻逼，哈哈
沁园春,https://x.com/YLJ1529425,2026-01-10T10:42:10.000Z,你发你妈个蛋。支持过姜萍是你一生的污点，纯粹的低智商畜牲。这件事我一直记得。
快找个人艹4我,https://x.com/o59779957,2026-01-10T12:18:39.000Z,被两边禁止入境还有脸说，王菊你真以为自己是个人
好感度养成AI伴侣,https://x.com/honNathacsx,2026-01-10T09:18:22.000Z,我都是直接和七龙珠许愿呢！
老猫查档开盒（寻律所对接）,https://x.com/laomaocaca,2026-01-10T07:59:15.000Z,只有钱够多，中南海一样可以把王局收买。
𝑅𝑢𝑘𝑎𝑤𝑎.𝑒𝑑𝑒,https://x.com/rukaawaaaa,2026-01-10T08:00:50.000Z,牛啊，直接和中南海发微信，稳
王道仁,https://x.com/hexiaoqing123,2026-01-10T08:52:10.000Z,王局拍案震怒：推特上真正的大外宣，是那些民逗们，他让每一个稍有理性的人认为，千万不能让这些人掌权。
Erica Liu,https://x.com/EricaLi65373875,2026-01-10T09:24:14.000Z,是时候再发一下习近平给你转账的记录了
takatomo,https://x.com/yrtakatomo,2026-01-10T07:53:11.000Z,哈哈哈，什么时候&我一下
小粉红8964,https://x.com/jntimi38652332,2026-01-10T12:52:46.000Z,王菊是第八常委，俗称王八常委
sdds2025,https://x.com/sdds2025147275,2026-01-10T12:39:23.000Z,中国最高层用微信?!   不信！！！习近平彭丽媛之间都不用微信，他们有红色电话机！
王龙的老伙计,https://x.com/wanglongsfriend,2026-01-10T13:05:42.000Z,大菊子这么牛，能不能先把你野爹董志明救出来
Tiananmen8964,https://x.com/Xibaozi_198964,2026-01-10T10:00:19.000Z,其实王局就是和国安合作的 小骂大帮忙
AI聊天智能体（H对话）,https://x.com/sfuHamcant,2026-01-10T09:55:12.000Z,哇！大佬你好厉害！但聊天工具也不错，来试试呗~
半仙初小茅,https://x.com/yihengheheng,2026-01-10T10:41:15.000Z,王部志安？王副国志安？反正都象日本名。
lp1802,https://x.com/lp1802,2026-01-10T08:16:59.000Z,菊花黑，黑菊花，歸來吧，哪裡的黃土不埋人
Sephiroth,https://x.com/vicenttop,2026-01-10T09:31:14.000Z,崔牛逼你第一名
AI聊天智能体（色色对话）,https://x.com/ine888slotOnl,2026-01-10T09:55:32.000Z,你好腻害！那你超牛的耶~ 你要是有啥心事或者想找人聊瑟瑟啥的，不如找个能谈恋爱、聊瑟瑟、交流的AI聊天工具诉说解难，它们可懂你了，还能陪你聊各种有趣的话题，让你开心起来！
风一样的男子,https://x.com/etJ1RPqAwLwBnXg,2026-01-10T08:03:52.000Z,王桑身边专门配有西藏的秃子保护，李大师等不能伤其分毫，这种级别岂是国安能联系得了的。
出国工作.去美国.润.去日本.加拿大.西班牙.非盈利.劳务.工签.留学.永居.入籍.绿卡.国籍.移民,https://x.com/CassandraR47182,2026-01-10T07:56:57.000Z,Gijf你的每一分投入，都在为你未来的[选择权]加码。看我置顶
有霸道|离异,https://x.com/Christina338211,2026-01-10T08:05:24.000Z,墨迹的勿扰懂的看、
中共迫害法輪功學員(部分)案例館,https://x.com/photoH161178,2026-01-10T09:39:08.000Z,在看守所被輸不明藥液 她的右腿潰爛脫落 
Ellise,https://x.com/Ellise688833,2026-01-10T09:19:27.000Z,现在都是意淫风阵阵
Paul Miao,https://x.com/PaulMiao8,2026-01-10T08:36:15.000Z,"“王老师，您在干嘛？”

王志安老师：经验丰富，博识强辩，从小处可见大节，通繁杂可入情理，在井内可坐井观天，出坑后可谈经论道。王志安老师难为您了。

王志安老师比较明确地表达过，或者说他不经意间显示出“他不反对共产党，但对共产党有很多批评和意见。”"
诚聘板主,https://x.com/Y5nt1dUl0yRjfmu,2026-01-10T12:23:55.000Z,爲了孩子著想，狗哥建議你趕快移民去格陵蘭島或加拿大。
诚聘板主,https://x.com/Y5nt1dUl0yRjfmu,2026-01-10T12:38:47.000Z,小心中共收拾你。
