回帖用户名,用户主页地址,回帖时间,回帖内容
utica16,https://x.com/BigBeaverOhio,2026-01-10T13:18:18.000Z,王菊敢把这幅图放进墙内吗？
lizzii,https://x.com/lynnlizzii,2026-01-10T09:50:15.000Z,你疯了吧 这么没底线
六大家π²,https://x.com/huangniu2098,2026-01-10T10:55:07.000Z,米堆挑屎，粪堆拣米。
Dan Ash,https://x.com/DanAshcrof1892,2026-01-10T06:39:26.000Z,左派要那么暴力吗？没人意识到趋势非常危险
JoooBz,https://x.com/JooooBz,2026-01-10T07:37:15.000Z,上级下发的矩阵统一舆论法：偷换概念。
Exeggutor123,https://x.com/exeggutor150936,2026-01-10T06:31:38.000Z,哎呀，这次梗被你玩对了，老王
Alisa,https://x.com/Alisa9999999999,2026-01-10T07:26:43.000Z,画反了
安徒生,https://x.com/an_sheng66230,2026-01-10T14:50:15.000Z,8964最大罪人1是调戏坦克的人；2是开坦克的人；3才是邓公小平。如果开坦克的直接辗死调戏坦克的人，那么会有天安门惨剧？如果说左疯对抗独裁，虽然不智但还值得怜悯的话。那么左疯先放进来千万非移，再阻挠驱逐非移，这是不是该死？我未经授权到你家干好事算不算侵略？拜登行政分支装瞎算不算有签证？
域外巡视使,https://x.com/fei3736,2026-01-10T06:38:23.000Z,菊，我骂您的视频没看吗？
那个啥,https://x.com/Io8bPYCF298866,2026-01-10T10:05:53.000Z,64坦克车如出一辙
BestYT,https://x.com/Best_YT2,2026-01-10T11:18:54.000Z,王局还是中国人
Say No to CCP,https://x.com/davidblackking,2026-01-10T12:11:52.000Z,赶紧退订啊
石tony888,https://x.com/tony88810,2026-01-10T15:16:23.000Z,还不如当年那个狗屎坦克人
Sniper,https://x.com/jujishou2018,2026-01-10T06:55:28.000Z,老王：你脑子进水了吗？毛病！
Nurhachi1999,https://x.com/nurhachi1987726,2026-01-10T08:01:44.000Z,你这个人肯定脑子不太好
Robbin,https://x.com/Robbin330211,2026-01-10T11:49:18.000Z,菊花你还是赶紧回你的支那粪坑去吧
灭世,https://x.com/harryhorse18234,2026-01-10T11:58:08.000Z,下面一堆蛆炸了
wangyi,https://x.com/woswe82,2026-01-10T06:32:46.000Z,suv man
周博文,https://x.com/KrNAX6vmabkXs8h,2026-01-10T07:07:20.000Z,王局对生命没有一点尊重，字里行间透露着戏谑，看来老中就是老中，去了日本也是老中
ur t,https://x.com/urt44743001138,2026-01-10T07:30:50.000Z,偷图不做引用？不愧是前央视的小工
语言即世界 人权高于主权|支言支语｜支人思维 ｜支那ぶた,https://x.com/allmoneycome6,2026-01-10T11:16:37.000Z,王菊，能不能别那么支？ice这事就是个警察不小心走火了把那个警察抓了就完了，坦克这事性质可完全不同啊
小圆,https://x.com/KouKoustar1017,2026-01-10T07:35:29.000Z,一骂骂俩我感觉挺好，毕竟人死不能复生
永远的章男,https://x.com/kxschoolCN,2026-01-10T10:22:29.000Z,直接压过去啊，ICE世界最强的川普总统私用军队，谁敢挡他
CNMB,https://x.com/bobchat0301,2026-01-10T13:30:34.000Z,哦？好借用！不過 這個是真的，你的是共匪給你的假的
彳亍,https://x.com/ismelB99,2026-01-10T11:09:48.000Z,我真觉得你是大外宣了
川建國同志,https://x.com/hydpk110,2026-01-10T07:15:18.000Z,地狱梗
bibo,https://x.com/bibo2025_,2026-01-10T06:39:21.000Z,击毙你马勒戈壁，你是个人吗
愿和平,https://x.com/TurnW4,2026-01-10T06:07:28.000Z,女人明显只是想离开，人家有礼貌，有家庭，有合法身份，被ice三枪爆头，被冠上恐怖分子的头衔，各种恶毒的言论都往她身上泼，那群川粉真的反人类！我越来越看不懂这个世界了！杀了女人还要骂一句婊子！川普一句话定性，所有的川粉，川普的政府加足马力往女人身上泼脏水！好像她生来就是错误的！
zzz,https://x.com/zzzcynzt,2026-01-10T07:23:25.000Z,如果ice也跟那个女的一样开车撞人那我也支持拔枪正当防卫。说白了你们这些搞中文键政的就是带着价值观看问题而不是基于事实。那么多角度撞人的视频就当没看见，一股脑的谴责ice也是可悲
menniu,https://x.com/menniu283498,2026-01-10T06:28:31.000Z,还是美国文明，没用坦克
SHD小芳,https://x.com/SHDxiaofang,2026-01-10T07:36:15.000Z,你看，ice没压过去嘛，美国还是自由的嘛
开盒/全家户籍/抖音开盒/社保记录/医疗记录,https://x.com/zhouyang517,2026-01-10T06:08:59.000Z,压过去
msknmsl,https://x.com/msksl888,2026-01-10T06:17:01.000Z,王丧说吧 收了中共多少钱？
zhang1130,https://x.com/Lee439300,2026-01-10T06:46:03.000Z,这张图有极强的教育意义，建议发墙内
Agu888,https://x.com/KaiLeeynu,2026-01-10T07:24:35.000Z,  王局是不是很暴力，应不应该把他关小黑屋
UziWang,https://x.com/UziWang,2026-01-10T06:54:13.000Z,你玩这种图有点过分了
风暴,https://x.com/satoshiStormDog,2026-01-10T07:33:53.000Z,王志安听说你在2020年被中共国安高价收买了，请就这个传闻说两句
Ben,https://x.com/d2wpcYeKPvp1clu,2026-01-10T14:35:06.000Z,他不是不记得央视的党管媒体。也不是不记得党管法院。跟不会忘记警察是执行无产阶级专政的。更不会忘记党领导军队。却拿一个党纪凌驾于法律的国家对比一个民选，三权分立，总统遵守高院判决的民主制度国家。作为歪曲的比较。彻底暴露党媒的本质。大家应该集体举报日本移民局。
seraph,https://x.com/NILL1051048,2026-01-10T06:12:10.000Z,支持邓小平和川圣在这种事上。左派民主不如专制
piter phil,https://x.com/piter_phil68544,2026-01-10T09:22:52.000Z,这不是戳到他们肺管子了嘛。就靠这血馒头吃一辈子的。
Teddy,https://x.com/Teddy1464441890,2026-01-10T06:09:07.000Z,王志安不装了，摊牌了。
九首天蜈,https://x.com/houl1980tomcom,2026-01-10T14:58:37.000Z,组织给你记功了，不遗余力攻击美国，加油。
FOF,https://x.com/FeelingOfFree,2026-01-10T09:26:48.000Z,有点悲凉，不忍心王局慢慢滑落成胡叼盘、龟头李和轮媒之类。拍案节目好久提不起兴趣看了，偶尔标题吸引，看完后，感觉是新闻播报器，看不到观点。幸好出现艾森这样的年轻后起之秀
cacago yep,https://x.com/CacagoYep,2026-01-10T07:54:32.000Z,反贼们会疯的
官人我还要,https://x.com/bvTmhZzSdohFVGb,2026-01-10T13:19:29.000Z,国务院总理李鹏5.19发布戒严令后，坦克人不“配合执法”，必须碾成肉饼以儆效尤。
takatomo,https://x.com/yrtakatomo,2026-01-10T06:09:19.000Z,击毙，把你吓到了。
木瓜,https://x.com/kenji_choko,2026-01-10T10:57:08.000Z,你们诽谤 新闻联播 ！当年他是“螳臂挡車”我们人民解放军在保护人命的情况下很克制的！西方国家断章取义……知道年龄了吧……
Alan,https://x.com/AllenCh08857351,2026-01-10T07:04:02.000Z,你再不快做清华园中学和伊朗的视频来平衡一下，就要坐实是大外宣了
u-,https://x.com/chnizhzhngling1,2026-01-10T06:15:27.000Z,王菊花一会把ICE跟中国城管相比较，一会跟8964天安门事件比较，然而这都是在用偷换概念，错误类比的逻辑谬论来宣传叙事，可见王菊花这人骨子里还是有多坏
幸福的秘密是自由 自由的秘密是勇氣,https://x.com/Duncan53664251,2026-01-10T11:14:38.000Z,相机不会杀人，但一脚油门下去则碾你不商量，走到哪都制造大裤衩里那套黑白颠倒乱局……
MCGA,https://x.com/xiaobo497476,2026-01-10T09:15:50.000Z,你们这些沙雕纯属是侮辱了坦克人
Wang Shengxin,https://x.com/wsxmi,2026-01-10T07:08:53.000Z,稍有常识的人不难看出，只要我们的螳臂不断射击，铁骑也会自动停下。
observer,https://x.com/Observer98930,2026-01-10T06:03:16.000Z,为什么四十年后还有这种照片。还是同一批人在拍。
幸福的秘密是自由 自由的秘密是勇氣,https://x.com/Duncan53664251,2026-01-10T11:23:12.000Z,如此巾帼可与当年驾机撞击世贸大厦的勇士一较高下喽
William Chen,https://x.com/chen_willi74558,2026-01-10T06:46:48.000Z,傻逼
cm,https://x.com/start821ge,2026-01-10T08:17:15.000Z,这个大屁眼子也决心要恶心全世界
Zane39,https://x.com/zanei39,2026-01-10T07:27:59.000Z,无中生有、混淆概念，中共间谍王痔疮
马甲,https://x.com/mji56648483,2026-01-10T07:30:53.000Z,救护车！救护车！
takatomo,https://x.com/yrtakatomo,2026-01-10T06:12:46.000Z,别害怕也，王局，你是有过 这个经历的人啊
YaoXian Zheng 郑耀先,https://x.com/leohoho535,2026-01-10T07:01:10.000Z,这位女士是当年王丹烈士转世投胎，到美国再演浩气长存
超超超哥,https://x.com/chochochog1,2026-01-10T07:10:42.000Z,美狗的民主就是这样，不服就一枪爆头。
中华蹲,https://x.com/peterthega88052,2026-01-10T06:29:45.000Z,有没有人感觉像我一样，总感觉王志安说话阴阳怪气，言语中透露出内心的皇汉精神？
Lu,https://x.com/lujiaha75666679,2026-01-10T11:00:12.000Z,这要是美国军队，集会第一天你敢挡军队，早给你突突了
雨小轩、,https://x.com/Yuxuan_CN,2026-01-10T10:45:54.000Z,哈哈，太幽默了，竟然能把坦克人洗白
超越今生,https://x.com/DingHan81920,2026-01-10T07:43:01.000Z,王局不是调查记者吗，赶紧调查一下坦克人的身份，王局要是调查出来那绝对火爆全球
ken abel,https://x.com/kenabel473376,2026-01-10T07:31:32.000Z,评论区  挺搞笑 一帮华人   一边是帮美国政府洗地，一边是帮一个美国人抱不平  叽里呱啦说一堆屁话  这很明显的 就是一句话总结： 老百姓远离政治 ，就能活得更久一点， 不然注定被政客当枪使，这种就是最轻于鸿毛的死法了。
Farewell,https://x.com/FerrySocial,2026-01-10T08:57:22.000Z,有王菊跑到日本基地哦，日本也有美国基地哦，这么害怕？王局真是太厉害了，舍生忘死
JamesHirasawa,https://x.com/jameshirasawa,2026-01-10T08:42:52.000Z,"菊花又意淫上了
美國出一個鄧八丈也成不了支那啊"
lucky N,https://x.com/lucky7333333,2026-01-10T06:20:27.000Z,王桑打老婆以后，就放飞自我了
我要四点半睡,https://x.com/GradyPanam38148,2026-01-10T06:20:45.000Z,七天连锁酒店 谁来
小辣猫,https://x.com/IlarrazaNi82995,2026-01-10T06:20:46.000Z,有万达广场附近的吗
冬方,https://x.com/dfangc,2026-01-10T07:57:38.000Z,又在混淆视听
0xMystx,https://x.com/0xMystx,2026-01-10T06:01:41.000Z,that hit was clean fr
"代开发票，微信+:La51896,先开后付款，正规保真",https://x.com/Christy02230287,2026-01-10T06:03:56.000Z,"代开发票，材料费，餐饮费，住宿费，咨询服务费
技术服务费，机械设备，维修费，设计费，等等"
"代开发票，微信+:La51896,先开后付款，正规保真",https://x.com/Christy02230287,2026-01-10T06:05:29.000Z,嫌命太长了
老猫查档开盒（寻律所对接）,https://x.com/laomaocaca,2026-01-10T06:00:28.000Z,老美要封你的账号了
王道仁,https://x.com/hexiaoqing123,2026-01-10T06:33:19.000Z,王局拍案震怒：这场疫情的最后，也许人们会看到，威权政府面对疫病爆发时，有可能表现的比民主政体更有效率。真正值得讨论的是，你是否愿意为民主政体的某种低效付出代价，而不是在那里掩耳盗铃地说，威权政府根本无法处理类似的危机。专制型权力和基础性权力同时处于高位的政府，是完全可以存在的。
JH,https://x.com/Jane47390677,2026-01-10T12:00:20.000Z,只能證明你思維邏輯混亂！
习主席真是太伟大了,https://x.com/liming173,2026-01-10T09:00:21.000Z,那怪难怪都说你是大外宣，你不止是外宣还是畜生
𝘽𝙤𝙮𝙪 𝙏𝙖𝙣,https://x.com/Tan_BoYu,2026-01-10T06:24:06.000Z,冷知识，当年的坦克人活的很好。
𝐷𝑒.𝑐𝑒𝑚𝑚 (),https://x.com/Decem_ma1512,2026-01-10T06:06:04.000Z,Drop confirmed
endorphin,https://x.com/LDeng3907,2026-01-10T07:29:45.000Z,别逼逼了，patreon快点上上林友案
Qinqiong,https://x.com/Qinqiong1970,2026-01-10T09:54:04.000Z,王志安，狗五毛！
yi zhu,https://x.com/yizhu194633,2026-01-10T06:49:18.000Z,中国领导者不是靠道德而是靠史书约束行为
Aiden,https://x.com/XG1681363814119,2026-01-10T08:41:01.000Z,笑死了
激萌甜心|姐姐,https://x.com/Tina20079618545,2026-01-10T06:27:38.000Z,墨迹的勿扰懂的看，
Ronald Hsu,https://x.com/RonaldHsu598,2026-01-10T07:30:51.000Z,所有反共人士，你敢誠實地回答這個問題嗎？ 如果ICE當街打死女司機的這個視頻，我們把ICE全部換成中國公安，女司機換成中國人，所在地換成中國。 但整個事件的過程100%一樣。 你會支持中共警察？你會說這女司機該死？ 反共華川粉們，承認吧，你們跟小粉紅一樣有立場無是非。
Ronald,https://x.com/Ronald_AUPeople,2026-01-10T07:23:07.000Z,傻逼王
Thornthep,https://x.com/Kraiburanond,2026-01-10T13:51:41.000Z,上海浦东，女，24。最好来个会舔的行吗，真人来。假人赶紧滚啊！！怎么这么多机器人！？
中共迫害法輪功學員(部分)案例館,https://x.com/photoH161178,2026-01-10T09:39:47.000Z,https://zhuichaguoji.org/node/36734
Paul Miao,https://x.com/PaulMiao8,2026-01-10T06:04:49.000Z,"“王老师，您在干嘛？”

王志安老师：经验丰富，博识强辩，从小处可见大节，通繁杂可入情理，在井内可坐井观天，出坑后可谈经论道。王志安老师难为您了。

王志安老师比较明确地表达过，或者说他不经意间显示出“他不反对共产党，但对共产党有很多批评和意见。”"
Patrick,https://x.com/PatrickkkkKim,2026-01-10T07:01:05.000Z,"美国至少有几百万人上街支持。
罗马教皇，也在 支持这个 有三个孩子的母亲，诗人，ICE执法纠察员（她是读过法律专业的，专门来纠察ICE的）"
诚聘板主,https://x.com/Y5nt1dUl0yRjfmu,2026-01-10T10:51:46.000Z,看來馬來西亞需要邀請美國ICE幫助執法
诚聘板主,https://x.com/Y5nt1dUl0yRjfmu,2026-01-10T07:19:19.000Z,"王菊花是見過市面的人，但很多時候沒辦法看透問題的本質。
就像中國人說反共不反華，其實本質就是謊話連篇！"
诚聘板主,https://x.com/Y5nt1dUl0yRjfmu,2026-01-10T07:05:26.000Z,"問題美國的公權力來自人民的選擇，所以這種照片沒有意義。
如果你不爽，那麽4年後你把特朗普選下來，問題是選下來會改變嗎？
如果你瞭解美國警察的執法歷史，你就不會這樣幼稚了。

中國已經執政76年，特朗普事實上是在人民的選舉下又上又下又上第二次當選，前後加起來也就5年多。"
壯志凌雲,https://x.com/Ce1571,2026-01-10T07:30:00.000Z,"那是美国人的做法，你不要在这里阴阳中国。完整的坦克人录像是这个人被人安全带走，所以说王菊你怎么就这么坏呢？
1989年政治风波坦克人完整视频："
